"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENO11",3.96663881748036e-54,0.268803234735098,0.442,0.304,7.50408731490935e-50,"8","ENO1"
"UBB3",1.06637874762275e-52,0.281552831496871,0.939,0.873,2.01737531475272e-48,"8","UBB"
"TUBA1B3",5.1095237857422e-52,0.251119204651183,0.715,0.586,9.66619709786709e-48,"8","TUBA1B"
"RAN",2.86471014222061e-49,0.27190380422114,0.519,0.386,5.41945864705295e-45,"8","RAN"
"IFITM23",1.20763094425943e-45,0.317891265783817,0.407,0.29,2.28459622034999e-41,"8","IFITM2"
"SOD1",6.90802379375125e-43,0.306629123021224,0.545,0.437,1.30685994130186e-38,"8","SOD1"
"RPL271",3.10886765621377e-37,0.256636860601423,0.797,0.742,5.88135583202521e-33,"8","RPL27"
"UBE2D31",2.76050171181042e-36,0.260811749338483,0.602,0.502,5.22231713840296e-32,"8","UBE2D3"
"ZFP36L2",8.13760508166578e-35,0.274933677488527,0.514,0.41,1.53947212934953e-30,"8","ZFP36L2"
"RPS161",8.2483476981174e-34,0.317814087670159,0.943,0.938,1.56042241752985e-29,"8","RPS16"
"HSPA84",1.37628025849856e-27,0.372602541495255,0.868,0.847,2.60364699302758e-23,"8","HSPA8"
"LMNA1",0.0019583215754096,0.344559872731796,0.474,0.496,1,"8","LMNA"
"RPL121",5.09036651988969e-194,0.467503846107025,0.999,0.983,9.62995538232731e-190,"9","RPL12"
"APOE1",2.09747645661081e-190,0.704982511277349,0.609,0.341,3.96800596061633e-186,"9","APOE"
"RPS182",7.02191762032218e-185,0.403643442164843,1,0.999,1.32840637541255e-180,"9","RPS18"
"TCEAL43",5.99674986272782e-184,0.626529658897024,0.592,0.346,1.13446513903085e-179,"9","TCEAL4"
"RPL131",6.42376643293243e-169,0.378251047508678,1,0.999,1.21524813378216e-164,"9","RPL13"
"RPL261",2.68423391818747e-166,0.448779104442377,0.999,0.983,5.07803372642706e-162,"9","RPL26"
"DCN3",9.967973667454e-163,0.504028110315041,0.884,0.575,1.88574125840895e-158,"9","DCN"
"RPL31",1.47213795868347e-157,0.468422373816644,0.998,0.959,2.78499059023739e-153,"9","RPL31"
"RPL71",3.23011483829341e-155,0.371147784348073,1,0.997,6.11073125108348e-151,"9","RPL7"
"RPL111",2.82905809943339e-153,0.393325374926068,1,0.992,5.35201211250809e-149,"9","RPL11"
